id,text,source,language,category
148,"The International Energy Agency reported that global investment in clean energy reached $1.7 trillion in 2023, exceeding fossil fuel investment for the first time. Solar photovoltaic investment alone reached $380 billion.",IPCC Summary,en,policy
149,A team of scientists from Japan and Germany demonstrated that ocean thermal energy conversion could generate baseload renewable electricity in tropical regions. Pilot plants in Okinawa and Hawaii achieved 100 kilowatt output.,MENA Environmental Report,en,adaptation
150,"The Global Methane Pledge, signed by over 150 countries at COP28, targets a 30 percent reduction in methane emissions by 2030 from 2020 levels. Methane is responsible for approximately 30 percent of post-industrial global warming.",IPCC Summary,en,science
151,أعلنت وزارة البيئة الأردنية عن خطة جديدة لمكافحة التصحر في المناطق الشرقية من المملكة. تتضمن الخطة زراعة مليون شجرة بحلول عام 2030 بالتعاون مع منظمة الأغذية والزراعة.,تقرير المناخ العربي,ar,adaptation
152,أظهرت دراسة حديثة أن مستويات هطول الأمطار في الأردن انخفضت بنسبة 20 بالمئة خلال العقود الثلاثة الماضية. يؤثر هذا التراجع بشكل مباشر على الزراعة في وادي الأردن.,الأردن اليوم,ar,science
153,وقعت الحكومة الأردنية اتفاقية مع البنك الدولي لتمويل مشاريع الطاقة المتجددة بقيمة 150 مليون دولار. تشمل المشاريع محطات طاقة شمسية في معان والمفرق.,وكالة الأنباء الأردنية,ar,policy
154,يعاني البحر الميت من تراجع مستمر في منسوب المياه بمعدل متر واحد سنوياً. يحذر خبراء البيئة من أن هذا التراجع قد يؤدي إلى كارثة بيئية في المنطقة.,البيئة والتنمية,ar,impact
155,نثمن بالمؤتمر الدولي للمناخ في الأمم المتحدة الجهود المبذولة لتقليل انبعاثات الكربون. الدول العربية ملتزمة بتحقيق أهداف اتفاقية باريس.,تقرير المناخ العربي,ar,policy
156,أطلقت الجمعية الملكية لحماية الطبيعة مشروعاً لإعادة تأهيل محمية ضانا الطبيعية. يهدف المشروع إلى حماية التنوع البيولوجي من آثار تغير المناخ.,الأردن اليوم,ar,adaptation
157,سجلت محطات الرصد الجوي في عمان درجات حرارة قياسية خلال صيف 2023 تجاوزت 45 درجة مئوية. يربط العلماء هذه الموجة الحارة بظاهرة الاحتباس الحراري.,وكالة الأنباء الأردنية,ar,science
158,أثر الجفاف المتكرر في منطقة القرن الأفريقي على ملايين الأشخاص. تقدر الأمم المتحدة أن 36 مليون شخص يواجهون انعدام الأمن الغذائي بسبب تغير المناخ.,البيئة والتنمية,ar,impact
159,تعمل الأردن على تطوير شبكة نقل عام كهربائي في عمان للحد من انبعاثات النقل. المشروع يتم بالتعاون مع الوكالة الفرنسية للتنمية.,الأردن اليوم,ar,adaptation
160,حذر تقرير الهيئة الحكومية الدولية المعنية بتغير المناخ من أن منطقة الشرق الأوسط ستشهد ارتفاعاً في درجات الحرارة يصل إلى 4 درجات مئوية بحلول نهاية القرن.,تقرير المناخ العربي,ar,science
161,أعلن صندوق المناخ الأخضر عن منحة بقيمة 15 مليون دولار لدعم مشاريع إدارة المياه في الأردن. تشمل المشاريع حصاد مياه الأمطار وإعادة تدوير المياه العادمة.,وكالة الأنباء الأردنية,ar,policy
162,تواجه الشعاب المرجانية في البحر الأحمر تهديداً متزايداً بسبب ارتفاع حرارة المياه. رصد العلماء حالات ابيضاض واسعة النطاق قبالة سواحل العقبة.,البيئة والتنمية,ar,impact
163,نثمن مبادرة السعودية الخضراء التي تهدف إلى زراعة 10 مليارات شجرة وتقليل انبعاثات الكربون بنسبة 60 بالمئة. هذه المبادرة تمثل تحولاً في سياسات المناخ الخليجية.,تقرير المناخ العربي,ar,policy
164,أظهرت الأقمار الصناعية تسارع ذوبان الجليد في القطب الشمالي بمعدل أسرع مما توقعته النماذج المناخية. قد يختفي الجليد البحري الصيفي بحلول عام 2040.,البيئة والتنمية,ar,science
165,تنفذ الأردن مشروع الناقل الوطني للمياه لنقل المياه من البحر الأحمر إلى المناطق الشمالية. يعد هذا المشروع حيوياً لمواجهة أزمة المياه المتفاقمة.,الأردن اليوم,ar,adaptation
166,شهد لبنان حرائق غابات غير مسبوقة خلال صيف 2023 بسبب الجفاف وارتفاع درجات الحرارة. دمرت الحرائق أكثر من 5000 هكتار من الغابات الصنوبرية.,البيئة والتنمية,ar,impact
167,أطلقت جامعة العلوم والتكنولوجيا الأردنية مركزاً بحثياً متخصصاً في دراسات تغير المناخ. يركز المركز على تأثير التغيرات المناخية على الموارد المائية.,وكالة الأنباء الأردنية,ar,science
168,وافق مجلس الوزراء الأردني على الاستراتيجية الوطنية للنمو الأخضر للفترة 2025-2030. تتضمن الاستراتيجية أهدافاً لزيادة حصة الطاقة المتجددة إلى 50 بالمئة.,الأردن اليوم,ar,policy
169,تعاني المجتمعات الرعوية في جنوب الأردن من تدهور المراعي بسبب الجفاف المتكرر. هاجرت عائلات بدوية عديدة نحو المدن بحثاً عن مصادر رزق بديلة.,تقرير المناخ العربي,ar,impact
170,افتتحت الأردن أكبر محطة لتحلية المياه بالطاقة الشمسية في منطقة العقبة. تنتج المحطة 10 آلاف متر مكعب من المياه العذبة يومياً.,وكالة الأنباء الأردنية,ar,adaptation
171,أعلنت وزارة البيئة الأردنية عن خطة جديدة لمكافحة التصحر في المناطق الشرقية من المملكة. تتضمن الخطة زراعة مليون شجرة بحلول عام 2030 بالتعاون مع منظمة الأغذية والزراعة.,تقرير المناخ العربي,ar,policy
172,أظهرت دراسة حديثة أن مستويات هطول الأمطار في الأردن انخفضت بنسبة 20 بالمئة خلال العقود الثلاثة الماضية. يؤثر هذا التراجع بشكل مباشر على الزراعة في وادي الأردن.,البيئة والتنمية,ar,impact
173,وقعت الحكومة الأردنية اتفاقية مع البنك الدولي لتمويل مشاريع الطاقة المتجددة بقيمة 150 مليون دولار. تشمل المشاريع محطات طاقة شمسية في معان والمفرق.,وكالة الأنباء الأردنية,ar,science
174,يعاني البحر الميت من تراجع مستمر في منسوب المياه بمعدل متر واحد سنوياً. يحذر خبراء البيئة من أن هذا التراجع قد يؤدي إلى كارثة بيئية في المنطقة.,وكالة الأنباء الأردنية,ar,science
175,نثمن بالمؤتمر الدولي للمناخ في الأمم المتحدة الجهود المبذولة لتقليل انبعاثات الكربون. الدول العربية ملتزمة بتحقيق أهداف اتفاقية باريس.,وكالة الأنباء الأردنية,ar,adaptation
176,أطلقت الجمعية الملكية لحماية الطبيعة مشروعاً لإعادة تأهيل محمية ضانا الطبيعية. يهدف المشروع إلى حماية التنوع البيولوجي من آثار تغير المناخ.,الأردن اليوم,ar,impact
177,سجلت محطات الرصد الجوي في عمان درجات حرارة قياسية خلال صيف 2023 تجاوزت 45 درجة مئوية. يربط العلماء هذه الموجة الحارة بظاهرة الاحتباس الحراري.,البيئة والتنمية,ar,impact
178,أثر الجفاف المتكرر في منطقة القرن الأفريقي على ملايين الأشخاص. تقدر الأمم المتحدة أن 36 مليون شخص يواجهون انعدام الأمن الغذائي بسبب تغير المناخ.,تقرير المناخ العربي,ar,policy
179,تعمل الأردن على تطوير شبكة نقل عام كهربائي في عمان للحد من انبعاثات النقل. المشروع يتم بالتعاون مع الوكالة الفرنسية للتنمية.,البيئة والتنمية,ar,policy
180,حذر تقرير الهيئة الحكومية الدولية المعنية بتغير المناخ من أن منطقة الشرق الأوسط ستشهد ارتفاعاً في درجات الحرارة يصل إلى 4 درجات مئوية بحلول نهاية القرن.,تقرير المناخ العربي,ar,science
181,أعلن صندوق المناخ الأخضر عن منحة بقيمة 15 مليون دولار لدعم مشاريع إدارة المياه في الأردن. تشمل المشاريع حصاد مياه الأمطار وإعادة تدوير المياه العادمة.,وكالة الأنباء الأردنية,ar,science
182,تواجه الشعاب المرجانية في البحر الأحمر تهديداً متزايداً بسبب ارتفاع حرارة المياه. رصد العلماء حالات ابيضاض واسعة النطاق قبالة سواحل العقبة.,وكالة الأنباء الأردنية,ar,policy
183,نثمن مبادرة السعودية الخضراء التي تهدف إلى زراعة 10 مليارات شجرة وتقليل انبعاثات الكربون بنسبة 60 بالمئة. هذه المبادرة تمثل تحولاً في سياسات المناخ الخليجية.,الأردن اليوم,ar,impact
184,أظهرت الأقمار الصناعية تسارع ذوبان الجليد في القطب الشمالي بمعدل أسرع مما توقعته النماذج المناخية. قد يختفي الجليد البحري الصيفي بحلول عام 2040.,وكالة الأنباء الأردنية,ar,science
185,تنفذ الأردن مشروع الناقل الوطني للمياه لنقل المياه من البحر الأحمر إلى المناطق الشمالية. يعد هذا المشروع حيوياً لمواجهة أزمة المياه المتفاقمة.,البيئة والتنمية,ar,impact
186,شهد لبنان حرائق غابات غير مسبوقة خلال صيف 2023 بسبب الجفاف وارتفاع درجات الحرارة. دمرت الحرائق أكثر من 5000 هكتار من الغابات الصنوبرية.,تقرير المناخ العربي,ar,impact
187,أطلقت جامعة العلوم والتكنولوجيا الأردنية مركزاً بحثياً متخصصاً في دراسات تغير المناخ. يركز المركز على تأثير التغيرات المناخية على الموارد المائية.,تقرير المناخ العربي,ar,science
188,وافق مجلس الوزراء الأردني على الاستراتيجية الوطنية للنمو الأخضر للفترة 2025-2030. تتضمن الاستراتيجية أهدافاً لزيادة حصة الطاقة المتجددة إلى 50 بالمئة.,وكالة الأنباء الأردنية,ar,policy
189,تعاني المجتمعات الرعوية في جنوب الأردن من تدهور المراعي بسبب الجفاف المتكرر. هاجرت عائلات بدوية عديدة نحو المدن بحثاً عن مصادر رزق بديلة.,تقرير المناخ العربي,ar,science
190,افتتحت الأردن أكبر محطة لتحلية المياه بالطاقة الشمسية في منطقة العقبة. تنتج المحطة 10 آلاف متر مكعب من المياه العذبة يومياً.,وكالة الأنباء الأردنية,ar,impact
191,أعلنت وزارة البيئة الأردنية عن خطة جديدة لمكافحة التصحر في المناطق الشرقية من المملكة. تتضمن الخطة زراعة مليون شجرة بحلول عام 2030 بالتعاون مع منظمة الأغذية والزراعة.,الأردن اليوم,ar,impact
192,أظهرت دراسة حديثة أن مستويات هطول الأمطار في الأردن انخفضت بنسبة 20 بالمئة خلال العقود الثلاثة الماضية. يؤثر هذا التراجع بشكل مباشر على الزراعة في وادي الأردن.,الأردن اليوم,ar,impact
193,وقعت الحكومة الأردنية اتفاقية مع البنك الدولي لتمويل مشاريع الطاقة المتجددة بقيمة 150 مليون دولار. تشمل المشاريع محطات طاقة شمسية في معان والمفرق.,البيئة والتنمية,ar,impact
194,يعاني البحر الميت من تراجع مستمر في منسوب المياه بمعدل متر واحد سنوياً. يحذر خبراء البيئة من أن هذا التراجع قد يؤدي إلى كارثة بيئية في المنطقة.,تقرير المناخ العربي,ar,policy
195,نثمن بالمؤتمر الدولي للمناخ في الأمم المتحدة الجهود المبذولة لتقليل انبعاثات الكربون. الدول العربية ملتزمة بتحقيق أهداف اتفاقية باريس.,البيئة والتنمية,ar,impact
196,أطلقت الجمعية الملكية لحماية الطبيعة مشروعاً لإعادة تأهيل محمية ضانا الطبيعية. يهدف المشروع إلى حماية التنوع البيولوجي من آثار تغير المناخ.,تقرير المناخ العربي,ar,policy
197,سجلت محطات الرصد الجوي في عمان درجات حرارة قياسية خلال صيف 2023 تجاوزت 45 درجة مئوية. يربط العلماء هذه الموجة الحارة بظاهرة الاحتباس الحراري.,وكالة الأنباء الأردنية,ar,science
198,أثر الجفاف المتكرر في منطقة القرن الأفريقي على ملايين الأشخاص. تقدر الأمم المتحدة أن 36 مليون شخص يواجهون انعدام الأمن الغذائي بسبب تغير المناخ.,وكالة الأنباء الأردنية,ar,science
199,تعمل الأردن على تطوير شبكة نقل عام كهربائي في عمان للحد من انبعاثات النقل. المشروع يتم بالتعاون مع الوكالة الفرنسية للتنمية.,البيئة والتنمية,ar,adaptation
200,حذر تقرير الهيئة الحكومية الدولية المعنية بتغير المناخ من أن منطقة الشرق الأوسط ستشهد ارتفاعاً في درجات الحرارة يصل إلى 4 درجات مئوية بحلول نهاية القرن.,تقرير المناخ العربي,ar,policy
